NEW;OLD
UNKNOWN;-, (UNK), ?, U/K, UK, UKNOWN, UNK, UNKN, UNKNONW, UNKNOW, UNKNOWN, UNKNOWN MAKE, UNKNOWNN, UNKONWN, UNKOWN, OT, OTHER, OTH, OTHE
BTWIN;BT WIN, BTWIN, B-TWIN
CANADIAN TIRE;CAN TIRE, CAN. TIRE, CANADIAN TIRE, SUPER CYCLE, SUPERCYCLE, SUPE, SUPER, SUPERBIKE, CDN TIRE, CC, CCM, CCM 26 APEX 19, CCM PRAGUE
CANNONDALE;CANN, CANNADALE, CANNANDALE, CANNONDALE, CANNONDALR, CANONDALE, SUPER 6
RALEIGH;RALEIGH, RALEIGT, SUNRISE 
NAKTO;1 FASHION, ELEGANCE, FOLDING
CITY PLUS;CITI PLUS
GIANT;GI, GIAN, GIANT, GIANT ESCAPE, GIANT ESCAPE 1, GIANT REVOLT 1, GIANT ROAM, GIANT SEDONA, GIANT SEEK 3, GIANT`, 2016 GIANT, GANT
SPECIALIZED;2005 HARDROCK
GT;GT, GT 11, GT AIRSTREAM, GT AVALANCHE, GT PANTERA, GT PRO, GTA EBIKE
VOLT;VOLT, VOLT BIKE
KHS;KH, KHS, KHS BICYCLES, KHS GRITT, URBAN, URBAN EXPRESS URBAN X, URBANE CYCLE
BIKEHARD;URBANIT, URBANITE
SCOTT;SCOT, SCOTT, SCOTT ASPECT, SCOTT ASPECT 10, SCOTT SPEEDSTER
SPECIALIZED;SPEACIALIZED, SPEALIZED, SPECIALISED, SPECIALIST, SPECIALIZE, SPECIALIZED, SPECILAISED, SPECILAIZED, SPECILIZED
SUPER73;SUPER 73, SUPER73
TREK;TR, TREK, TREK 6500, TREK4100, TREKK, TREX 2X 8000
TAO;TAO, TAO LEO, TAO TAO, TAOTAO, TAO-TAO
OPUS;OP, OPUS, OPUS BAROPCCO, OPUS SPARK, OPUS TRITON
